Evento,Fecha,Jg,Eqp,Jc,Re,C,H,E,Vs,Jc,Re,C,H,E,Estadio,Hora,Duc.,inn
59SN Cl,2019-08-10,1,PRI,HC,G,4,8,2,GRA,VS,P,0,7,2,Capitán San Luis,14:00,2:40,8
59SN Cl,2019-08-10,2,MTZ,VS,G,5,9,1,IJV,HC,P,1,3,2,Cristobal Labra,14:00,2:52,9
59SN Cl,2019-08-10,3,CAV,VS,G,10,12,0,IND,HC,P,6,11,7,Latinoamericano,14:00,3:38,9
59SN Cl,2019-08-10,4,CMG,VS,G,7,15,1,MAY,HC,P,6,11,0,Nelsón Fernández,14:00,3:48,9
59SN Cl,2019-08-10,5,CFG,HC,G,3,5,2,ART,VS,P,2,9,0,5 de Septiembre,14:00,2:50,9
59SN Cl,2019-08-10,8,SCU,HC,G,15,15,1,GTM,VS,P,0,4,1,Guillermón Moncada,14:00,2:10,5
59SN Cl,2019-08-10,6,VCL,VS,G,9,13,2,LTU,HC,P,1,7,0,Julio Antonio Mella,19:15,3:00,9
59SN Cl,2019-08-10,7,HOL,HC,G,4,7,0,SSP,VS,P,0,5,2,Calixto García Iñiguez,19:15,2:23,9
59SN Cl,2019-08-11,9,PRI,HC,G,1,10,0,GRA,VS,P,0,4,1,Capitán San Luis,14:00,2:45,9
59SN Cl,2019-08-11,10,IJV,HC,G,2,8,0,MTZ,VS,P,0,1,0,Cristobal Labra,14:00,2:54,9
59SN Cl,2019-08-11,11,IND,HC,G,13,15,2,CAV,VS,P,10,16,3,Latinoamericano,14:00,4:56,9
59SN Cl,2019-08-11,12,CMG,VS,G,5,7,1,MAY,HC,P,1,4,1,Nelsón Fernández,14:00,3:00,9
59SN Cl,2019-08-11,13,CFG,HC,G,13,12,1,ART,VS,P,0,3,2,5 de Septiembre,14:00,2:35,7
59SN Cl,2019-08-11,14,LTU,HC,G,5,10,1,VCL,VS,P,0,3,0,Julio Antonio Mella,14:00,2:45,9
59SN Cl,2019-08-11,15,SSP,VS,G,7,10,1,HOL,HC,P,4,12,1,Calixto García  Iñiguez,14:00,4:10,10
59SN Cl,2019-08-11,16,SCU,HC,G,5,9,1,GTM,VS,P,0,6,1,Guillermóm Moncada,14:00,3:00,9
59SN Cl,2019-08-12,17,GRA,VS,G,6,7,0,PRI,HC,P,5,15,1,Capitán San Luis,14:00,3:25,9
59SN Cl,2019-08-12,18,IJV,HC,G,13,15,1,MTZ,VS,P,4,7,3,Cristobal Labra,14:00,2:55,9
59SN Cl,2019-08-12,19,IND,HC,G,13,13,1,CAV,VS,P,3,11,2,Latinoamericano,14:00,3:37,8
59SN Cl,2019-08-12,20,CMG,VS,G,9,17,0,MAY,HC,P,2,6,1,Nelsón Fernández,14:00,2:56,9
59SN Cl,2019-08-12,21,ART,VS,G,8,12,1,CFG,HC,P,6,10,1,5 de Septiembre,14:00,3:35,9
